#bm	so	1	#CP
#CP	so	1	#bm
#df6	Wise Men	1	#CP
#CP	Wise Men	1	#df6
#bm	Mansions	1	#CP
#CP	Mansions	1	#bm
#df6	!	1	#CP
#CP	!	1	#df6
#bm	exclude	1	#CP
#CP	exclude	1	#bm
#df6	!	1	#CP
#CP	!	1	#df6
#bm	don't	1	#CP
#CP	don't	1	#bm
#df6	; 	1	#CP
#CP	; 	1	#df6
#df6	!	1	#CP
#CP	!	1	#df6
#df6	children	1	#bm
#bm	children	1	#df6
#df6	—	1	#CP
#CP	—	1	#df6
#df6	,	1	#CP
#CP	,	1	#df6
#bm	even	1	#CP
#CP	even	1	#bm
#ce	flagons	2	#CP
#ce	flagons	2	#fh
#CP	flagons	2	#ce
#CP	flagons	2	#fh
#fh	flagons	2	#ce
#fh	flagons	2	#CP
#df6		1	#CP
#CP		1	#df6
#df6	Dew	2	#CP
#df6	Dew	2	#fh
#CP	Dew	2	#df6
#CP	Dew	2	#fh
#fh	Dew	2	#df6
#fh	Dew	2	#CP
#df6	,	2	#CP
#df6	,	2	#fh
#CP	,	2	#df6
#CP	,	2	#fh
#fh	,	2	#df6
#fh	,	2	#CP
#df6	—	2	#CP
#df6	—	2	#fh
#CP	—	2	#df6
#CP	—	2	#fh
#fh	—	2	#df6
#fh	—	2	#CP
#df6	Robin's	2	#CP
#df6	Robin's	2	#fh
#CP	Robin's	2	#df6
#CP	Robin's	2	#fh
#fh	Robin's	2	#df6
#fh	Robin's	2	#CP
#ce	ecstasy	2	#CP
#ce	ecstasy	2	#fh
#CP	ecstasy	2	#ce
#CP	ecstasy	2	#fh
#fh	ecstasy	2	#ce
#fh	ecstasy	2	#CP
#df6	—	2	#CP
#df6	—	2	#fh
#CP	—	2	#df6
#CP	—	2	#fh
#fh	—	2	#df6
#fh	—	2	#CP
#df6	Tortoise	2	#CP
#df6	Tortoise	2	#fh
#CP	Tortoise	2	#df6
#CP	Tortoise	2	#fh
#fh	Tortoise	2	#df6
#fh	Tortoise	2	#CP
#df6	—	2	#CP
#df6	—	2	#fh
#CP	—	2	#df6
#CP	—	2	#fh
