2011	spray_paint	1	Toxic Rat
2007	canvas	4	Trolleys
2003	installation	2	Turf War
2003	canvas	2	Turf War
2001	spray_paint	1	Twin Towers
2008	spray_paint	1	Umbrella Girl
2008	spray_paint	1	Very Little Helps
2008	installation	1	Village Pet Store And Charcoal Grill
2013	spray_paint	1	Waiting in Vain
2007	book	1	Wall and Piece
2015	spray_paint	1	Watchtower Swing
2006	spray_paint	1	Well, Hung Lover
2012	spray_paint	1	Winnie the Pooh Bear Trap
2007	spray_paint	1	Yellow Lines Flower Painter
