2 sackville st. lower	painting	p	1
12 sackville st. lower	painting	p	1
carlisle bridge	painting	p	1
21 watling street	painting	p	1
27 bachelor's walk	painting	p	1
31 dame street	painting	p	1
island street	painting	p	1
watling street	painting	p	1
49 fleet street	painting	p	1
1 bedford row	painting	p	1
10 bedford row	painting	p	1
19 ormond quay lower	painting	p	1
31 mary's abbey	painting	p	1
christchurch place	painting	p	1
dame street	painting	p	1
lord edward street	painting	p	1
cork hill	painting	p	1
37 parliament street	painting	p	1
27 parliament street	painting	p	1
30 parliament street	painting	p	1
33 dame street	painting	p	1
14 nelson street	painting	p	1
60 mount street lower	painting	p	1
14 clare street	painting	p	1
31 merrion square north	painting	p	1
1 merrion square north	painting	p	1
23 wicklow street	painting	p	1
8 bridge street	painting	p	1
33 wicklow street	painting	p	1
sean heuston bridge	painting	p	1
ror o'more bridge	painting	p	1
father mathew bridge	painting	p	1
29 kildare street	painting	p	1
32 arran quay	painting	p	1
d'donovan rossa bridge	painting	p	1
34 ormond quay upper	painting	p	1
36 ormond quay upper	painting	p	1
15 wood quay	painting	p	1
30 ormond quay upper	painting	p	1
grattan bridge	painting	p	1
11 wellington quay	painting	p	1
2 wellington quay	painting	p	1
11 granby row upper	painting	p	1
26 parliament street	painting	p	1
82 dame street	painting	p	1
72 dame street	painting	p	1
college park	painting	p	1
1 leinster street	painting	p	1
merrion square	painting	p	1
2 mount street lower	painting	p	1
haddington road	painting	p	1
northumberland road	painting	p	1
7 eccles street	disease	p	1
ringsend road	disease	p	1
stamer street	disease	p	1
hume street	disease	p	1
nelson's pillar	disease	p	1
rutland square	disease	p	1
blessington street	disease	p	1
berkely street	disease	p	1
eccles street	disease	p	1
phibsborough road	disease	p	1
finglas road	disease	p	1
windmill lane	disease	p	1
18 rogerson's quay	disease	p	1
19 rogerson's quay	disease	p	1
lime street	disease	p	1
townsend street	disease	p	1
26 lombard street e.	disease	p	1
164 north strand road	disease	p	1
6 westland row	disease	p	1
49 westland row	disease	p	1
31 westland row	disease	p	1
pearse street	disease	p	1
cumberland street	disease	p	1
153 pearse street	disease	p	1
the coombe	disease	p	1
46 westland row	disease	p	1
1 lincoln place	disease	p	1
11 leinster street	disease	p	1
upper gardiner street	disease	p	1
mountjoy square	disease	p	1
fitzgibbon street	disease	p	1
great charles street	disease	p	1
north circular road	disease	p	1
4 n. strand road	disease	p	1
16 n. strand road	disease	p	1
17 n. strand road	disease	p	1
164 n. strand road	disease	p	1
21 n. strand road	disease	p	1
newcomen bridge	disease	p	1
annesley bridge	disease	p	1
howth road	disease	p	1
malahide road	disease	p	1
11 2 dorset street lower	disease	p	1
clongowes fields	disease	p	1
61 grafton street	disease	p	1
college green	disease	p	1
52 grafton street	disease	p	1
8 ormond quay upper	disease	p	1
crampton court	disease	p	1
sycamore street	disease	p	1
jervis street	disease	p	1
30 essex street east	disease	p	1
29 essex street east	disease	p	1
merchant's arch	disease	p	1
metal bridge	disease	p	1
wellington quay	disease	p	1
42 camden street lower	disease	p	1
25 bachelor's walk	disease	p	1
james's street	disease	p	1
5 dame street	disease	p	1
35 dame street	disease	p	1
28 james's street	disease	p	1
48 james's street	disease	p	1
2 sackville st. lower	disease	p	1
12 sackville st. lower	disease	p	1
carlisle bridge	disease	p	1
21 watling street	disease	p	1
27 bachelor's walk	disease	p	1
31 dame street	disease	p	1
island street	disease	p	1
watling street	disease	p	1
49 fleet street	disease	p	1
1 bedford row	disease	p	1
10 bedford row	disease	p	1
19 ormond quay lower	disease	p	1
31 mary's abbey	disease	p	1
christchurch place	disease	p	1
dame street	disease	p	1
lord edward street	disease	p	1
cork hill	disease	p	1
37 parliament street	disease	p	1
27 parliament street	disease	p	1
30 parliament street	disease	p	1
33 dame street	disease	p	1
14 nelson street	disease	p	1
60 mount street lower	disease	p	1
14 clare street	disease	p	1
31 merrion square north	disease	p	1
1 merrion square north	disease	p	1
23 wicklow street	disease	p	1
8 bridge street	disease	p	1
33 wicklow street	disease	p	1
sean heuston bridge	disease	p	1
ror o'more bridge	disease	p	1
father mathew bridge	disease	p	1
29 kildare street	disease	p	1
32 arran quay	disease	p	1
d'donovan rossa bridge	disease	p	1
34 ormond quay upper	disease	p	1
36 ormond quay upper	disease	p	1
15 wood quay	disease	p	1
30 ormond quay upper	disease	p	1
grattan bridge	disease	p	1
11 wellington quay	disease	p	1
2 wellington quay	disease	p	1
11 granby row upper	disease	p	1
26 parliament street	disease	p	1
82 dame street	disease	p	1
72 dame street	disease	p	1
college park	disease	p	1
1 leinster street	disease	p	1
merrion square	disease	p	1
2 mount street lower	disease	p	1
haddington road	disease	p	1
northumberland road	disease	p	1
7 eccles street	novel	p	1
ringsend road	novel	p	1
stamer street	novel	p	1
hume street	novel	p	1
nelson's pillar	novel	p	1
rutland square	novel	p	1
blessington street	novel	p	1
berkely street	novel	p	1
eccles street	novel	p	1
phibsborough road	novel	p	1
finglas road	novel	p	1
windmill lane	novel	p	1
18 rogerson's quay	novel	p	1
19 rogerson's quay	novel	p	1
lime street	novel	p	1
townsend street	novel	p	1
26 lombard street e.	novel	p	1
164 north strand road	novel	p	1
6 westland row	novel	p	1
49 westland row	novel	p	1
31 westland row	novel	p	1
pearse street	novel	p	1
cumberland street	novel	p	1
153 pearse street	novel	p	1
the coombe	novel	p	1
46 westland row	novel	p	1
1 lincoln place	novel	p	1
11 leinster street	novel	p	1
upper gardiner street	novel	p	1
mountjoy square	novel	p	1
fitzgibbon street	novel	p	1
great charles street	novel	p	1
north circular road	novel	p	1
4 n. strand road	novel	p	1
16 n. strand road	novel	p	1
17 n. strand road	novel	p	1
164 n. strand road	novel	p	1
21 n. strand road	novel	p	1
newcomen bridge	novel	p	1
annesley bridge	novel	p	1
howth road	novel	p	1
malahide road	novel	p	1
11 2 dorset street lower	novel	p	1
clongowes fields	novel	p	1
61 grafton street	novel	p	1
college green	novel	p	1
52 grafton street	novel	p	1
8 ormond quay upper	novel	p	1
crampton court	novel	p	1
sycamore street	novel	p	1
jervis street	novel	p	1
30 essex street east	novel	p	1
29 essex street east	novel	p	1
merchant's arch	novel	p	1
metal bridge	novel	p	1
wellington quay	novel	p	1
42 camden street lower	novel	p	1
25 bachelor's walk	novel	p	1
james's street	novel	p	1
5 dame street	novel	p	1
35 dame street	novel	p	1
28 james's street	novel	p	1
48 james's street	novel	p	1
2 sackville st. lower	novel	p	1
12 sackville st. lower	novel	p	1
carlisle bridge	novel	p	1
21 watling street	novel	p	1
27 bachelor's walk	novel	p	1
31 dame street	novel	p	1
island street	novel	p	1
watling street	novel	p	1
49 fleet street	novel	p	1
1 bedford row	novel	p	1
10 bedford row	novel	p	1
19 ormond quay lower	novel	p	1
31 mary's abbey	novel	p	1
christchurch place	novel	p	1
dame street	novel	p	1
lord edward street	novel	p	1
cork hill	novel	p	1
37 parliament street	novel	p	1
27 parliament street	novel	p	1
30 parliament street	novel	p	1
33 dame street	novel	p	1
14 nelson street	novel	p	1
60 mount street lower	novel	p	1
14 clare street	novel	p	1
31 merrion square north	novel	p	1
1 merrion square north	novel	p	1
23 wicklow street	novel	p	1
8 bridge street	novel	p	1
33 wicklow street	novel	p	1
sean heuston bridge	novel	p	1
ror o'more bridge	novel	p	1
father mathew bridge	novel	p	1
29 kildare street	novel	p	1
32 arran quay	novel	p	1
d'donovan rossa bridge	novel	p	1
34 ormond quay upper	novel	p	1
36 ormond quay upper	novel	p	1
15 wood quay	novel	p	1
30 ormond quay upper	novel	p	1
grattan bridge	novel	p	1
11 wellington quay	novel	p	1
2 wellington quay	novel	p	1
11 granby row upper	novel	p	1
26 parliament street	novel	p	1
