11 wellington quay	1		italianphilosopher
2 wellington quay	1		italianphilosopher
granby row	1		italianphilosopher
merrion square	1		italianphilosopher
mount street lower	1		italianphilosopher
haddington road	1		italianphilosopher
northumberland road	1		italianphilosopher
loopline bridge	1		italianphilosopher
sandycove	1		italianphilosopher
dalkey, dublin bay	1		romanhistory
sandymount strand	1		romanhistory
leeson park	1		romanhistory
7 eccles street	1		romanhistory
windmill lane	1		romanhistory
18 rogerson's quay	1		romanhistory
19 rogerson's quay	1		romanhistory
lime street	1		romanhistory
townsend street	1		romanhistory
26 lombard street e.	1		romanhistory
164 north strand road	1		romanhistory
6 westland row	1		romanhistory
49 westland row	1		romanhistory
31 westland row	1		romanhistory
pearse street	1		romanhistory
cumberland street	1		romanhistory
153 pearse street	1		romanhistory
the coombe	1		romanhistory
46 westland row	1		romanhistory
1 lincoln place	1		romanhistory
11 leinster street	1		romanhistory
arbour hill	1		romanhistory
ringsend road	1		romanhistory
hume street	1		romanhistory
nelson's pillar	1		romanhistory
rutland grove	1		romanhistory
blessington street	1		romanhistory
berkely street	1		romanhistory
eccles street	1		romanhistory
phibsborough road	1		romanhistory
finglas road	1		romanhistory
mountjoy square	1		romanhistory
fitzgibbon street	1		romanhistory
north circular road	1		romanhistory
n. strand road	1		romanhistory
newcomen bridge	1		romanhistory
annesley bridge	1		romanhistory
howth road	1		romanhistory
malahide road	1		romanhistory
dorset street lower	1		romanhistory
clongowes fields	1		romanhistory
grafton street	1		romanhistory
college green	1		romanhistory
8 ormond quay upper	1		romanhistory
crampton court	1		romanhistory
sycamore street	1		romanhistory
jervis street	1		romanhistory
essex street east	1		romanhistory
merchant's arch	1		romanhistory
wellington quay	1		romanhistory
42 camden street lower	1		romanhistory
25 bachelor's walk	1		romanhistory
dame street	1		romanhistory
o'connell bridge	1		romanhistory
watling street	1		romanhistory
27 bachelor's walk	1		romanhistory
31 dame street	1		romanhistory
island street	1		romanhistory
fleet street	1		romanhistory
bedford row	1		romanhistory
ormond quay lower	1		romanhistory
mary's abbey	1		romanhistory
christchurch place	1		romanhistory
lord edward street	1		romanhistory
cork hill	1		romanhistory
parliament street	1		romanhistory
33 dame street	1		romanhistory
nelson street	1		romanhistory
60 mount street lower	1		romanhistory
clare street	1		romanhistory
31 merrion square north	1		romanhistory
1 merrion square north	1		romanhistory
wicklow street	1		romanhistory
bridge street	1		romanhistory
sean heuston bridge	1		romanhistory
rory o'more bridge	1		romanhistory
father mathew bridge	1		romanhistory
29 kildare street	1		romanhistory
arran quay	1		romanhistory
o'donovan rossa bridge	1		romanhistory
ormond quay upper	1		romanhistory
wood quay	1		romanhistory
grattan bridge	1		romanhistory
11 wellington quay	1		romanhistory
2 wellington quay	1		romanhistory
granby row	1		romanhistory
merrion square	1		romanhistory
mount street lower	1		romanhistory
haddington road	1		romanhistory
northumberland road	1		romanhistory
loopline bridge	1		romanhistory
sandycove	1		romanhistory
dalkey, dublin bay	1		deasylandact1860
sandymount strand	1		deasylandact1860
leeson park	1		deasylandact1860
7 eccles street	1		deasylandact1860
windmill lane	1		deasylandact1860
18 rogerson's quay	1		deasylandact1860
19 rogerson's quay	1		deasylandact1860
lime street	1		deasylandact1860
townsend street	1		deasylandact1860
26 lombard street e.	1		deasylandact1860
164 north strand road	1		deasylandact1860
6 westland row	1		deasylandact1860
49 westland row	1		deasylandact1860
31 westland row	1		deasylandact1860
pearse street	1		deasylandact1860
cumberland street	1		deasylandact1860
153 pearse street	1		deasylandact1860
the coombe	1		deasylandact1860
46 westland row	1		deasylandact1860
1 lincoln place	1		deasylandact1860
11 leinster street	1		deasylandact1860
arbour hill	1		deasylandact1860
ringsend road	1		deasylandact1860
hume street	1		deasylandact1860
nelson's pillar	1		deasylandact1860
rutland grove	1		deasylandact1860
blessington street	1		deasylandact1860
berkely street	1		deasylandact1860
eccles street	1		deasylandact1860
phibsborough road	1		deasylandact1860
finglas road	1		deasylandact1860
mountjoy square	1		deasylandact1860
fitzgibbon street	1		deasylandact1860
north circular road	1		deasylandact1860
n. strand road	1		deasylandact1860
newcomen bridge	1		deasylandact1860
annesley bridge	1		deasylandact1860
howth road	1		deasylandact1860
malahide road	1		deasylandact1860
dorset street lower	1		deasylandact1860
clongowes fields	1		deasylandact1860
grafton street	1		deasylandact1860
college green	1		deasylandact1860
8 ormond quay upper	1		deasylandact1860
crampton court	1		deasylandact1860
sycamore street	1		deasylandact1860
jervis street	1		deasylandact1860
essex street east	1		deasylandact1860
merchant's arch	1		deasylandact1860
wellington quay	1		deasylandact1860
42 camden street lower	1		deasylandact1860
25 bachelor's walk	1		deasylandact1860
dame street	1		deasylandact1860
o'connell bridge	1		deasylandact1860
watling street	1		deasylandact1860
27 bachelor's walk	1		deasylandact1860
31 dame street	1		deasylandact1860
island street	1		deasylandact1860
fleet street	1		deasylandact1860
bedford row	1		deasylandact1860
ormond quay lower	1		deasylandact1860
mary's abbey	1		deasylandact1860
christchurch place	1		deasylandact1860
lord edward street	1		deasylandact1860
cork hill	1		deasylandact1860
parliament street	1		deasylandact1860
33 dame street	1		deasylandact1860
nelson street	1		deasylandact1860
60 mount street lower	1		deasylandact1860
clare street	1		deasylandact1860
31 merrion square north	1		deasylandact1860
1 merrion square north	1		deasylandact1860
wicklow street	1		deasylandact1860
bridge street	1		deasylandact1860
