"NAME","ROLE"
"Junius, Hadrianus, 1511-1575.","Author"
"Evagrius, Scholasticus, b. 536?","Author"
"Hanmer, Meredith, 1543-1604.","Author"
"Socrates, Scholasticus, ca. 379-ca. 440.","Author"
"Vautroullier, Thomas 1564","Stationer"
"Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340.","Author"
"Haward, Nicholas.","Author"
"Marsh, Thomas 1554","Printer"
"Eutropius, 4th cent.","Author"
"Evans, Edward, b. 1573.","Author"
"Barnes, Joseph 1577","Printer"
"Hamond, Richard 1626","Stationer"
"Mathewes, Augustine 1608","Printer, Printer (journeyman) ?"
"Evans, John, minister of Gods word.","Author"
"Evans, Lewis, fl. 1574.","Author"
"Lichfield, Leonard I 1604","Printer"
"Webb, William 1635","Print seller, Publisher (maps)"
"Evans, William, b. 1598 or 9.","Author"
"Evans, William, poet.","Author"
"Griffin, Edward sr 1589","Printer"
"Everard, John, 1575?","Author"
"Stockwood, John, d. 1610.","Author"
"Ewich, Johann von, 1525-1588.","Author"
"Parsons, Mrs 1639","Printer"
"Gosson, Henry 1601","Bookseller, Bookseller (ballad)"
"Johnson, Jacob, of Dort in Holland.","Author"
"Philips, Martin.","Author"
"Haget, Peter van.","Author"
"Ballard, Richard 1577","Bookseller"
"Stafford, Simon 1586","Printer (journeyman), Pressman, Printer"
"France. Conseil du roi.","Author"
"Wolfe, John 1562","Printer"
"G. B. A. F.","Author"
"Bostocke, Richard.","Author"
"I. F., fl. 1633.","Author"
"Iones, William 1594","Printer ?, Publisher ?"
"Fletcher, Joseph, 1577?","Author"
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.","Author"
"Brathwaite, Richard, 1588?","Author"
"Lightfoot, Benjamin 1604","Bookseller"
"R. B., Gent.","Author"
"T. F.","Author"
"Fenner, Thomas, d. 1590?","Author"
"T. F., fl. 1630.","Author"
"Allde, Elizabeth 1628","Bookseller, Printer"
"Fabricius, Joannes, Montanus, 1527-1566.","Author"
"L. A., fl. 1562.","Author"
"Fage, John, student in phisicke.","Author"
"Hondius, Jodocus, 1563-1612, ill.","Illustrator"
"Orwin, Thomas 1581","Printer"
"Fale, Thomas, fl. 1604.","Author"
"Bladen, William 1610","Bookseller"
"Haviland, John 1621","Bookseller ?"
"Balmford, Samuel, d. 1659?","Author"
"Farewell, Christopher.","Author"
"Fawcet, Thomas 1621","Printer"
"Farley, Henry.","Author"
"Farmer, John, fl. 1591-1601.","Author"
"Morley, Thomas 1557","Publisher (music)"
"Byrd, William 1588","Printer (music)"
"Jaggard, William 1584","Printer, Printer (journeyman), Publisher, Bookseller"
"Adams, Thomas, fl. 1612-1653.","Author"
"German.","Author"
"T. B., fl. 1599.","Author"
"Short, Peter 1589","Printer, Printer (music)"
"Farnaby, Giles, ca. 1565-1640.","Author"
"Fawkner, Antony, b. 1601 or 2.","Author"
"Allot, Robert 1625","Bookseller"
"Lichfield, John 1605","Printer"
"Peerse, Elias 1614","Bookseller, Bookbinder"
"Featley, Daniel, 1582-1645.","Author"
"Bourne, Nicholas 1601","Bookseller, Bookbinder"
"Lownes, Humphrey 1612","Stationer"
"Smith, Richard, 1566-1655.","Author"
"Bagshaw, Christopher, d. 1625?","Author"
"Hickock, Thomas.","Author"
"White, Edward sr 1565","Bookseller, Publisher"
"Federici, Cesare.","Author"
"Felice, Costanzo.","Author"
"Sallust, 86-34 B.C.","Author"
"Barclay, Alexander, 1475?","Author"
"Filippe, Bartholomeu.","Author"
"Thorie, John, b. 1568.","Author"
"Seile, Henry 1617","Bookseller"
"Felltham, Owen, 1602?","Author"
"Oliffe, Richard 1580","Bookseller"
"Fenne, Thomas.","Author"
"Schilders, Richard 1568","Printer, Printer (journeyman)"
"Udall, John, 1560?","Author"
"Fennor, William.","Author"
"Rogers, Edward 1617","Stationer"
"Barnes, Roger 1608","Bookseller, Bookbinder"
"Gibbs, George 1600","Bookseller, Printer"
"Hunt, Joseph 1578","Bookseller"
"Fenton, Edward.","Author"
"Dawson, John 1622","Printer"
"Guevara, Antonio de, Bp., d. 1545?","Author"
"Fenton, Geoffrey, Sir, 1539?","Author"
"Pasquier, Etienne, 1529-1615.","Author"
"Pavier, Thomas 1598","Bookseller, Bookseller (ballad), Bookbinder, Publisher"
"Read, Richard 1580","Printer"
"I. F.","Author"
"Aspley, William 1599","Bookseller, Map/chart seller"
"Fenton, Roger, 1565-1616.","Author"
"Alabaster, William, 1567-1640.","Author"
"Ferdinand I, Holy Roman Emperor, 1503-1564.","Author"
"French Gent.","Author"
"Butter, Nathaniel 1604","Bookseller"
"Fergusson, David, d. 1598.","Author"
"Winzet, Ninian, 1518-1592.","Author"
"Benoit, RenÈ, 1521-1608.","Author"
"Enciso, Martin Fern√°ndez de, d. 1525.","Author"
"Ferrabosco, Alfonso, ca. 1575-1628.","Author"
"Snodham, Thomas 1595","Printer (journeyman), Printer, Printer (music)"
"Browne, John 1601","Bookseller, Stationer"
"Ferrand, Jacques, m√©decin.","Author"
"Forrest, Edward I 1591","Bookseller, Stationer, Bookbinder"
"Chilmead, Edmund, 1610-1654.","Author"
"Ferrarius, Johannes, 1485 or 6-1558.","Author"
"Kingston, John 1555","Printer"
"Wight, John 1540","Bookseller"
"Bavand, William.","Author"
"Ferrers, Richard.","Author"
"Kelway, Thomas.","Author"
"Watkins, Richard 1557","Printer ?, Bookseller"
"Ferrier, Auger, 1513-1588.","Author"
"Sargent, James.","Author"
"Ferris, Richard, fl. 1590.","Author"
"Fetherston, Christopher.","Author"
"Dawson, Thomas 1582","Printer"
"Worde, Wynkyn de, d. 1534?","Author"
"Feylde, Thomas.","Author"
"Loiseau de Tourval, Jean.","Author"
"Feynes, Henri de.","Author"
"Wright, William 1592","Publisher"
"Niclaes, Hendrik, 1502?","Author"
"Vitell, Christopher, fl. 1555-1579.","Author"
"Fidelitas.","Author"
"Smith, Toby 1580","Bookseller"
"Fielde, John, d. 1588.","Author"
"Gwalther, Rudolf, 1519-1586.","Author"
"Stroud, John 1568","Printer ?, Editor/Compiler ?"
"T. W. (Thomas Wilcox), 1549?","Author"
"BËze, ThÈodore de, 1519-1605.","Author"
"Field, Nathan, 1587-1620?","Author"
"Walbancke, Matthew 1617","Bookseller"
"Budge, John 1606","Bookseller"
"Roberts, James 1603","Printer"
"Field, Richard, 1561-1616.","Author"
"Field, Nathaniel, 1598 or 9-1666.","Author"
"Jeffes, Abel 1580","Printer, Bookseller, Stationer"
"Babington, Gervase, 1550-1610.","Author"
"H. O., fl. 1592.","Author"
"Figueiro, Vasco, gentleman of Portingale.","Author"
"Finch, Mr.","Author"
"Finch, Henry, Sir, d. 1625.","Author"
"Gouge, William, 1578-1653.","Author"
"Ward, Roger 1566","Printer"
"Finch, Richard, minister of East Ham.","Author"
"Fine, Oronce, 1494-1555.","Author"
"Baker, Humfrey, fl. 1557-1587.","Author"
"Lownes, Humphrey 1580","Stationer"
"Lownes, Humphrey sr 1580","Bookseller, Printer, Printer (music)"
"Fioravanti, Leonardo, 1518-1588.","Author"
"Hester, John, d. 1593.","Author"
"East, Thomas 1565","Printer, Printer (music)"
"Fish, Simon, d. 1531.","Author"
"Crowley, Robert, 1518?","Author"
"Fisher, Jasper, b. 1591.","Author"
"Legatt, John I 1586","Printer"
"Harper, T 1634","Printer"
"Fisher, John, Saint, 1469-1535.","Author"
"Montagu, Anthony Browne, Viscount, ca. 1528-1592.","Author"
"Carter, William 1563","Printer, Printer"
"Champney, Anthony, 1569?","Author"
"Smith, Peter 1620","Bookseller, Printer"
"A. C.","Author"
"Fisher, John, of Chester.","Author"
"Awdely, John 1559","Printer"
"Floyd, John, 1572-1649.","Author"
"Fisher, John, 1569-1641.","Author"
"Pickering, William 1557","Printer, Bookseller"
"Fisher, John, student in Oxford.","Author"
"Fisher, William, student of diuinitie.","Author"
"Jackson, Hugh 1577","Stationer"
"Fit John, John.","Author"
"Fitz-Geffry, Charles, 1575?","Author"
"Dight, Edward 1609","Bookseller, Stationer"
"Beale, John 1625","Printer"
"Beaumont, Francis, 1584-1616.","Author"
"Drayton, Michael, 1563-1631.","Author"
"Fitzgeffrey, Henry.","Author"
"Harvey, Gabriel, 1550?","Author"
"Fitzherbert, Anthony, Sir, 1470-1538.","Author"
"Fitzherbert, John, d. 1531.","Author"
"Mabb, Ralph 1603","Bookseller"
"Berthelet, Thomas.","Author"
"Fitzjames, Richard, d. 1522.","Author"
"Bazan, √Ålvaro de, marqu√™s de Santa Cruz, 1526-1588.","Author"
"Flecknoe, Richard, d. 1678?","Author"
"Raworth, John 1632","Printer"
"Brookes, William 1636","Bookseller"
"Franklin, Michael 1617","Bookseller"
"Fleming, Abraham, 1552?","Author"
"Nausea, Friedrich, d. 1552.","Author"
"Denham, Henry 1582","Printer"
"Turner, Thomas 1564","Bookseller, Stationer"
"Autpertus, Ambrosius, d. 784.","Author"
"Augustine, Saint, Bishop of Hippo.","Author"
"Cicero, Marcus Tullius.","Author"
"Middleton, Henry 1567","Printer"
"Ascham, Roger, 1515-1568.","Author"
"Godlyfe, Fraunces 1562","Stationer"
"Fletcher, Anthonie.","Author"
"Jackson, John 1584","Printer"
"Bing, Isaac 1565","Bookseller, Stationer"
"Fletcher, Giles, 1549?","Author"
"Fletcher, Giles, 1588?","Author"
"Fisher, Benjamin 1621","Bookseller"
"Bishop, Richard 1627","Printer"
"Crooke, John 1635","Bookseller, Printer"
"Fletcher, John, 1579-1625.","Author"
"Jonson, Ben, 1573?","Author"
"Massinger, Philip, 1583-1640.","Author"
"Allott, Thomas 1629","Stationer"
"Walley, Henry 1608","Bookseller, Stationer"
"Cotes, Thomas 1606","Printer, Printer"
"Crooke, Andrew sr 1629","Bookseller, Publisher, Map/chart seller, Stationer"
"Cooke, William 1632","Bookseller"
"Cervantes Saavedra, Miguel de, 1547-1616.","Author"
"Shakespeare, William, 1564-1616.","Author"
"Waterson, John 1620","Bookseller"
"Cecil, Thomas, fl. 1630, engraver.","engraver"
"Fletcher, Phineas, 1582-1650.","Author"
"Spenser, Edmund, 1552?","Author"
"Baker, John 1653","Bookseller"
"Norton, John 1616","Printer"
"Boler, James 1613","Stationer"
"Harrison, John 1599","Stationer"
"Fletcher, Robert, purveyor of carriages to Queen Elizabeth.","Author"
