"NAME","ROLE"
"Northbrooke, John.","Author"
"Norton, Thomas, 1532-1584.","Author"
"Dorset, Thomas Sackville, Earl of, 1536-1608.","Author"
"M. P. (Martin Parker), d. 1656?","Author"
"Brinsley, John, fl. 1581-1624.","Author"
"Hobman, Thomas 1619","Stationer"
"Nowell, Alexander, 1507?","Author"
"Dorman, Thomas, d. 1577?","Author"
"Charke, William, d. 1617.","Author"
"Day, William, 1529-1596.","Author"
"Goad, Roger, 1538-1610.","Author"
"Walker, John, d. 1588.","Author"
"Numan, Philippe, d. 1617.","Author"
"Chambers, Robert, 1571-1624?","Author"
"Ogle, John, Sir, 1569-1640.","Author"
"Benese, Richard, d. 1546.","Author"
"Bonoeil, John.","Author"
"Ochino, Bernardino, 1487-1564.","Author"
"Argentine, Richard, d. 1568.","Author"
"Sharrock, John.","Author"
"Ocland, Christopher, d. 1590?","Author"
"Hathway, Richard, fl. 1598-1602.","Author"
"Wilson, Robert, d. 1600.","Author"
"Capito, Wolfgang, 1478-1541.","Author"
"Gryn‰us, Simon, 1493-1541.","Author"
"Mykonius, Oswald, 1488-1552.","Author"
"Tyrone, Con Bacagh O'Neill, Earl of, ca. 1484-1559.","Author"
"Pagit, Eusebius, 1547?","Author"
"Openshaw, Robert, b. 1554 or 5.","Author"
"Bennet, John, fl. 1599-1614.","Author"
"Bennett, Edward.","Author"
"Dowland, John, 1563?","Author"
"Guido, d'Arezzo.","Author"
"Ornithoparchus, Andreas, 16th cent.","Author"
"Benson, George, 1568 or 9-1648.","Author"
"Ort˙Òez de Calahorra, Diego.",""
"R. P., fl. 1583-1586.","Author"
"Parry, Robert, fl. 1540-1612.","Author"
"Sierra, Pedro de la.",""
"Mart√≠nez, Marcos, fl. 1598-1601.","Author"
"MartÌnez, Marcos, fl. 1598-1601,",""
"Osiander, Andreas, 1498-1552.","Author"
"Shacklock, Richard.","Author"
"Os√≥rio, Jer√≥nimo, 1506-1580.","Author"
"Overbury, Thomas, Sir, 1581-1613.","Author"
"Bentley, Thomas, student of Gray's Inn.","Author"
"Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548.","Author"
"Abergavenny, Frances Nevill, Lady, d. 1576.","Author"
"I. T., fl. 1616.","Author"
"Holland, Compton 1616","Bookseller, Print seller"
"Holland, Compton.","Author"
"W. B.","Author"
"Gower, John, 17th Century.","Author"
"King, Mr., fl. 1612.","Author"
"Benvenuto, Italian.","Author"
"Chapman, Thomas 1613","Stationer"
"Brinsley, John, fl. 1633.","Author"
"T. H., fl. 1560.","Author"
"Hatton, Richard.","Author"
"F. L., fl. 1600.","Author"
"Smethwicke, John 1589","Stationer"
"Affinati, Giacomo.","Author"
"Owen, Thomas, 1557-1618.","Author"
"Coton, Pierre, 1564-1626.","Author"
"Turner, Peter, fl. 1629, engraver.","engraver"
"Bermuda Islands.","Author"
"Overton, Henry 1622","Stationer"
"Bernhard, Duke of Saxe-Weimar, 1604-1639.","Author"
"I. P.","Author"
"N. P., fl. 1638.","Author"
"Page, Samuel, 1574-1630.","Author"
"Snape, Nathaniel.","Author"
"Snape, Matthew.","Author"
"Flaminio, Marco Antonio, 1498-1550.","Author"
"Benedetto, da Mantova, fl. 1534-1541.","Author"
"Paleario, Aonio, 1503-1570.","Author"
"Bridget, of Sweden, Saint, ca. 1303-1373.","Author"
"Palingenio Stellato, Marcello, ca. 1500-ca. 1543.","Author"
"Field, Theophilus, 1574-1636.","Author"
"Wise, Andrew 1580","Bookseller"
"Palmer, Thomas, Sir, 1540-1626.","Author"
"Zwinger, Theodor, 1533-1588.","Author"
"Paludanus, Fran√ßois, d. 1631.","Author"
"Greenbury, Catharine, 1596-1642.","Author"
"Seres, William, d. ca. 1579.","Author"
"E. C., fl. 1562.","Author"
"Hollandus, Johan Isa‰c, 15th cent.","Author"
"Paracelsus, 1493-1541.","Author"
"Penot, Bernard Georges.","Author"
"Du Chesne, Joseph, ca. 1544-1609.","Author"
"Par√©, Ambroise, 1510?","Author"
"I. B., fl. 1610-1614.","Author"
"Bouvot, Ph.","Author"
"Pierre, de la C√©p√®de, 15th cent.","Author"
"Morley, Henry Parker, Lord, 1476-1556.","Author"
"Parker, Henry, 1604-1652.","Author"
"Snowdon, George 1590","Printer"
"Wright, Cutbert 1603","Stationer"
"Agapƒìtos.","Author"
"Parrot, Henry.","Author"
"Newton, Ninian 1569","Printer"
"Newton, Nynion 1569","Stationer"
"Bunny, Edmund, 1540-1619.","Author"
"Powell, Thomas, 1572?","Author"
"Agard, Arthur, 1540-1615.","Author"
"Coffin, Edward, 1571-1626.","Author"
"Jones, Richard 1564","Printer, Bookseller"
"Crowder, John 1571","Chapman"
"Bernard, Richard, 1568-1641.","Author"
"Paschal, Carlo, 1547-1625.","Author"
"Covell, William, d. 1614?","Author"
"Pasqualigo, Luigi.","Author"
"Pasquil.","Author"
"Pasquill, of England, Cavaliero.","Author"
"Allie, Pepper 1589","Printer ?"
"Grosseteste, Robert, 1175?","Author"
"Edwardes, Mathew 1580","Stationer"
"Patrizi, Francesco, 1413-1494.","Author"
"Patten, William, fl. 1548-1580.","Author"
"Archer, Jean, ca. 1516-1588.","Author"
"Winchester, William Paulet, Marquis of, 1535?","Author"
"Peacham, Henry, 1576?","Author"
"Paxton, Edmund 1630","Bookseller, Stationer"
"Clarke, Isaac 1638","Stationer"
"Panciroli, Guido, 1523-1599.","Author"
"Hinde, John 1560","Bookseller, Stationer"
"[Peckham, George], Sir.","Author"
"Wingfield, Anthony, 1550?","Author"
"Pedersen, Christiern, 1480?","Author"
"Gau, John, d. 1553.","Author"
"Paulilli, Anello. Giudito di Paride.","Author"
"Peele, George, 1556-1596.","Author"
"Marsh, Henry 1584","Printer"
"Hancocke, Raffe 1580","Stationer"
"Peele, Steven.","Author"
"Peerson, Martin, 1571?","Author"
"Tombes, John, 1603?","Author"
"Capel, Richard, 1586-1656.","Author"
"Penry, John, 1559-1593.","Author"
"Percy, William, 1575-1648.","Author"
"Perkins, William, 1558-1602.","Author"
"Zanchi, Girolamo, 1516-1590.","Author"
"Pickering, Thomas, d. 1625.","Author"
"Lisle, Lawrence 1599","Stationer"
"Greene, Leonard 1606","Printer, Bookseller"
"Salter, Thomas.","Author"
"Beroaldo, Filippo, 1453-1505.","Author"
"Broughton, Hugh, 1549-1612.","Author"
"Beroald, Matthieu, d. 1576.","Author"
"Cudworth, Ralph, 1617-1688.","Author"
"Clarke, Martin 1605","Bookseller"
"Tuke, Thomas, d. 1657.","Author"
"Cacot, Francis.","Author"
"Smith, Triamore 1630","Stationer"
"Trundle, Margaret (Margery) 1626","Bookseller, Publisher, Publisher (ballad)"
"Bert, Edmund.","Author"
"Bertholdus, Andreas.","Author"
"Best, George, d. 1584.","Author"
"Brooke, Thomas 1591","Printer, Librarian/owner of circulating library"
"Taylor, Thomas.","Author"
"Bickerman, Thomas 1605","Stationer"
"Ward, Samuel, 1572-1643.","Author"
"Clapham, Henoch.","Author"
"Johnson, Esdras 1594","Stationer"
"Pierson, Thomas, ca. 1570-1633.","Author"
"Piersonn, Thomas.","Author"
"B√©thune, Philippe de, comte de Selles et de Charost, 1561-1649.","Author"
"[Perry, Henry].","Author"
"Betson, Thomas.","Author"
"Person, David.","Author"
"Petau de Maulette, Genevi√®ve.","Author"
"Petowe, Henry.","Author"
"Harris, Andrew 1587","Bookseller, Stationer"
"Bettie, W.","Author"
"Selman, Matthew 1587","Bookseller, Stationer"
"Pett, Peter, fl. 1599.","Author"
"R. B., fl. 1576.","Author"
"Copley, Anthony, 1567-1607?","Author"
"Philalethes, Andreas.","Author"
"Blackwell, George, 1546 or 7-1613.","Author"
"England, Nicholas 1557","Stationer"
"Sleidanus, Johannes, 1506-1556.","Author"
"Daus, John.","Author"
"Bevin, Elway, ca. 1554-1638.","Author"
"Phillips, John, fl. 1570-1591.","Author"
"Phillips, John.","Author"
"Phillips, John, d. 1640.","Author"
"Map, Walter, fl. 1200.","Author"
"R. S., Esquire.","Author"
"[Philo-Balladus].","Author"
"Pick, Samuel.","Author"
"Langford, Bernard 1637","Bookseller"
"Pico della Mirandola, Giovanni Francesco, 1470-1533.","Author"
"Hawkins, John, fl. 1635.","Author"
"Aretino, Pietro, 1492-1556.","Author"
"Pigg, Oliver, b. ca. 1551.","Author"
"Pilkington, Francis, d. 1638.","Author"
"Derby, William Stanley, Earl of, d. 1642.","Author"
"Browne, Alice 1622","Bookseller ?, Bookbinder ?"
"Some, Robert, 1542-1609.","Author"
"Custody, William 1562","Stationer"
"F. M., fl. 1588.","Author"
"Carrillo de Mendoza y Pimentel, Diego, 16th/17th cent.","Author"
"Lyford, William, 1598-1653.","Author"
"Pinke, William, 1599?","Author"
"Pirckheimer, Willibald, 1470-1530.","Author"
"Pits, John.","Author"
"Aleyn, Charles, d. 1640.","Author"
"Evesdropper, Adam.","Author"
"Baron, John.","Author"
"Piatti, Girolamo, 1545-1591.","Author"
"Playfere, Thomas, 1561?","Author"
"D. C., fl. 1610-1612.","Author"
"Pliny, the Elder.","Author"
"Plutarch.","Author"
"Grant, Edward, 1540?","Author"
"Clapham, John, b. 1566.","Author"
"Hales, John, d. 1571.","Author"
"Amyot, Jacques, 1513-1593.","Author"
"Acciaiuoli, Donato, 1429-1478.","Author"
"Nepos, Cornelius.","Author"
"Cushman, Robert, 1579?","Author"
"Winslow, Edward, 1595-1655.","Author"
"Pocklington, John.","Author"
"Pole, Reginald, 1500-1558.","Author"
"Withers, Fabian.","Author"
"Atanagi, Dionigi, ca. 1504-1573.","Author"
"Polo, Marco, 1254-1323?","Author"
"Polyander √† Kerckhoven, Johannes, 1568-1646.","Author"
"Walters, George 1595","Stationer"
"Polybius.","Author"
"Clapham, David, d. 1551.","Author"
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?","Author"
"Pont, Robert, 1524-1606.","Author"
"Porcia, Jacopo di, conte, 15th cent.","Author"
"Telotson, William 1543","Bookseller"
"Betham, Peter.","Author"
"Porter, Henry, fl. 1599.","Author"
"Porter, Walter, d. 1659.","Author"
"Bromley, Edward, Sir.","Author"
"Potts, Thomas, fl. 1612-1618.","Author"
"Alfred, King of England, 849-899.","Author"
"Powell, Robert, fl. 1636-1652.","Author"
"Man, Paul 1621","Bookseller"
"Powell, Thomas, b. 1579 or 80.","Author"
"Pownall, Nathaniel, 1583 or 4-1610.","Author"
"Davenport, John, 1597-1670, ed.","Editor"
"Preston, John, 1587-1628.","Author"
"Sibbes, Richard, 1577-1635, ed.","Editor"
"Ball, Thomas, 1589 or 90-1659.","Author"
"Harford, Ralph 1627","Bookseller, Bookbinder"
"Davenport, John, 1597-1670.","Author"
"Harmar, John, 1555?","Author"
"Cole, Peter 1637","Bookseller, Printer"
"Preston, John, minister of East Ogwell.","Author"
"Jackeson, Raffe 1580","Stationer"
"Margaret, of Austria, Regent of the Netherlands, 1480-1530.","Author"
"L. P. (Laurence Price), fl. 1625-1680?","Author"
"L.P. (Lawrence Price), fl. 1625-1680?","Author"
"Price, Sampson, 1585 or 6-1630.","Author"
"Pricket, Robert.","Author"
"Prideaux, John, 1578-1650.","Author"
"Primerose, David.","Author"
"Primrose, Gilbert, ca. 1580-1642.","Author"
"Proctor, Thomas, poet.","Author"
"T. P.","Author"
"Proctor, John, 1521?","Author"
"Prynne, William, 1600-1669.","Author"
"Widdowes, Giles 1588","Publisher ?, Author"
"La Serre, M. de (Jean-Puget), ca. 1600-1665.","Author"
"Purchas, Samuel, 1577?","Author"
"Quarles, Francis, 1592-1644.","Author"
"Croshawe, Richard.","Author"
"Quevedo, Francisco de, 1580-1645.","Author"
"Burton, Simon 1636","Bookseller"
"C. R., fl. 1569.","Author"
"Russell, John, d. 1688.","Author"
"W. R., fl. 1592.","Author"
"Hinde, William, 1569?","Author"
"Leycester, John, b. 1598.","Author"
"Gentili, Alberico, 1552-1608.","Author"
"Hart, John, d. 1586.","Author"
"Verstegan, Richard 1578","Printer, Editor/Compiler, Author"
"Rainolds, William, 1544?","Author"
"Raleigh, Sir, Walter, 1552?","Author"
"Luna, Miguel de, 16th/17th cent.","Author"
"Ryder, Timothy 1564","Stationer"
"Ramsay, Laurence.","Author"
"Langbaine, Gerard, 1609-1658.","Author"
"Ranchin, Guillaume, b. 1560.","Author"
"Randall, John, 1570-1622.","Author"
"Randolph, Thomas, 1605-1635.","Author"
"Randolph, Robert, 1612 or 13-1671.","Author"
"Rankins, William, fl. 1587.","Author"
"Rastell, John 1475","Printer, Printer (music), Printer (ballad), Author, Author (dramatic/theatrical)"
"Rastell, William, 1508?","Author"
"Rojas, Fernando de, d. 1541.","Author"
"Pearce, Edward, ca. 1560-ca. 1613.","Author"
"Ravenscroft, Thomas, 1592?","Author"
"Rawlins, John.","Author"
"Rawlins, Thomas, 1620?","Author"
"Read, Alexander, 1586?","Author"
"Reading, John, 1588-1667.","Author"
"Record, Erasmus.","Author"
"Records, Charles.","Author"
"Smith, Thomas 1620","Bookseller"
"Rhegius, Urbanus, 1489-1541.","Author"
"H. H.","Author"
"Renichon, Michel de, d. 1594.","Author"
"Machlinia, William de 1481","Printer"
"Adam, of Eynsham, fl. 1196-1232.","Author"
"Rainolde, Richard, d. 1606.","Author"
"Reynolds, Edward, 1599-1676.","Author"
"Reynolds, Henry, fl. 1627-1632.","Author"
"Whittingham, William, d. 1579.","Author"
"Rhodes, Hugh, fl. 1550.","Author"
"Rhodes, John, fl. 1606.","Author"
"Rhodes, John, minister of Enborne.","Author"
"Rhodes, Math.","Author"
"Dawson, Mary Mrs 1635","Printer"
"Boler, Anne 1635","Bookseller"
"Walley, Robert 1576","Stationer"
"Rich, Richard, fl. 1610.","Author"
"Richardson, Gabriel, d. 1642.","Author"
"Rid, Samuel.","Author"
"Rider, T.","Author"
"Ridley, Nicholas, 1500?","Author"
"Careless, John, fl. 1564-1566.","Author"
"Rabbards, Ralph.","Author"
"Ripley, George, d. 1490?","Author"
"Rivers, George.","Author"
"Rivius, Johann, 1500-1553.","Author"
"Roberts, Alexander, d. 1620.","Author"
"Man, Samuel 1605","Stationer"
"Proctor, John 1589","Bookseller"
"Lawe, Thomas 1585","Stationer"
"Mantell, Walter 1583","Bookseller"
"Roberts, Humphrye 1608","Stationer"
"Roberts, John, of Weston.","Author"
"Hurlock, George 1624","Bookseller"
"Morgan, Ellis 1638","Bookseller"
"Roberts, Lewes, 1596-1640.","Author"
"Dalen, Cornelius van, engraver.","engraver"
"Lee, William 1612","Stationer"
"Falconer, John, 1577-1656.","Author"
"Robert, Prior of Shrewsbury, d. 1167.","Author"
"Robinson, Richard, fl. 1574.","Author"
"Uvedale, E.","Author"
"Robinson, Robert, Londoner.","Author"
"Robinson, Thomas, fl. 1622.","Author"
"Robinson, Thomas, fl. 1589-1609.","Author"
"Robson, Charles, 1598-1638.","Author"
"Roche, Robert, 1575 or 6-1629.","Author"
"Rogers, John, fl. 1560-1580.","Author"
"Rogers, John, of Chacombe.","Author"
"Rogers, John, 1572?","Author"
"Rogers, Nehemiah, 1593-1660.","Author"
"Rogers, Richard, 1550?","Author"
"Wright, Samuel, d. ca. 1612.","Author"
"Man, Thomas 1617","Stationer"
"Egerton, Stephen, 1555?","Author"
"Rogers, Thomas, of Tewkesbury.","Author"
"Rollock, Robert, 1555?","Author"
"Lumsden, Charles, ca. 1561-1630.","Author"
"Charteris, Henry, 1565-1628.","Author"
"Arthur, William, fl. 1606-1619.","Author"
"Rosier, James, 1575-1635.","Author"
"Ross, Alexander, 1591-1654.","Author"
"Rosseter, Philip, 1567 or 8-1623.","Author"
"Campion, Thomas, 1567-1620.","Author"
"Rous, Francis, 1579-1659.","Author"
"Bartlett, John 1637","Stationer"
"Rous, Francis, b. 1615.","Author"
"Bishop, Lucas 1600","Stationer"
"Day, John, 1574-1640?","Author"
"Rowley, Samuel, d. 1633?","Author"
"Cowper, John 1629","Bookseller"
"Laurent, Dominican, fl. 1279.","Author"
"Roye, Gui de, ca. 1345-1409.","Author"
"Rudyerd, Benjamin, Sir, 1572-1658.","Author"
"Ruggle, George, 1575-1622.","Author"
"Porta, Giambattista della, 1535?","Author"
"Russell, William, fl. 1607.","Author"
"Ryckes, John.","Author"
"A. S.","Author"
"Jordan, John, fl. 1584.","Author"
"D. S., fl. 1584.","Author"
"Harper, Thomas 1643","Printer"
"D. S.","Author"
"Smith, Jude.","Author"
"Sterrie, D.","Author"
"D. S., fl. 1573.","Author"
"E. S. (Edward Sharpe), 17th cent.","Author"
"Walker, Robert 1589","Bookseller"
"E. S., fl. 1597.","Author"
"E. C. S, fl. 1626.","Author"
"F. S.","Author"
"H. S., fl. 1616.","Author"
"H. S., fl. 1603.","Author"
"Hollar, Wenceslaus, 1607-1677, engraver.","engraver"
"I. S., fl. 1639.","Author"
"Payne, Thomas 1628","Printer, Bookseller"
"J. S.","Author"
"N. S., fl. 1617.","Author"
"Willet, Roland, b. 1588 or 9.","Author"
"R. S., of the Inner Temple.","Author"
"W. S., fl. 1612.","Author"
"W. S., fl. 1595.","Author"
"W. S.","Author"
"Sabie, Francis.","Author"
"Sabie, Francis. Fisher-mans tale.",""
"Sadler, John, 1615-1674.","Author"
"Antoniszoon, Cornelis, b. ca. 1499.","Author"
"Norman, Robert, fl. 1590.","Author"
"Wright, Edward, 1558?","Author"
"Sala, Angelus, 1576-1637.","Author"
"Bretnor, Thomas, fl. 1607-1618, tr., ed.","translator"
"Joannes, de Mediolano.","Author"
"Arnaldus, de Villanova, d. 1311.","Author"
"Crowley, Robert 1517","Printer, Publisher, Author"
"Crosse, William, b. 1589 or 90.","Author"
"Starmer, James 1586","Stationer"
"Saltmarsh, John, d. 1647.","Author"
"W. F., fl. 1640, engraver.","engraver"
"Enderby, Samuel 1637","Bookseller"
"Saltwood, Robert.","Author"
"Mychell, John 1530","Printer"
"Hudson, Thomas, 16th/17th cent.","Author"
"La Noue, Odet de, seigneur de TÈligny, d. 1618.","Author"
"Pibrac, Guy du Faur, seigneur de, 1529-1584.","Author"
"James, Rycharde 1556","Stationer"
"Shaw, James 1588","Bookseller"
"Winter, Thomas, Master of Arts.","Author"
"Salvian, of Marseilles, ca. 400-ca. 480.","Author"
"Rogers, Nathaniell 1632","Stationer"
"Samuel, William, fl. 1551-1569.","Author"
"Powell, Humphrey 1548","Printer"
"Sanderson, Robert, 1587-1663.","Author"
"Sandys, Edwin, Sir, 1561-1629.","Author"
"Tailour, Robert, fl. 1614.","Author"
"San Pedro, Diego de, fl. 1500.","Author"
"Sansovino, Francesco, 1521-1586.","Author"
"Sarcerius, Erasmus, 1501-1559.","Author"
"Philo-Britannicos.","Author"
"Sarpi, Paolo, 1552-1623.","Author"
"Gentilis, Robert.","Author"
"Saul, Arthur.","Author"
"Duverdier, Gilbert Saulnier, d. 1686.","Author"
"Walter, Richard 1597","Bookseller"
"Sawtry, James.","Author"
"Saxey, Samuel.","Author"
"Schilander, Cornelius.","Author"
"Cutberte, John 1566","Stationer"
"Terence.","Author"
"Schonaeus, Cornelis, ca. 1541-1611.","Author"
"Schˆner, Lazarus, ca. 1543-1607.","Author"
"Scogan, John, fl. 1480.","Author"
"Scoloker, Anthony, fl. 1604.","Author"
"Scot, Tho. (Thomas), fl. 1605.","Author"
"Scott, Thomas, 1580?","Author"
"Henryson, Edward.","Author"
"Scotland.","Author"
"Balfour, James, Sir, Lord Pettindreich, d. 1583.","Author"
"Tyler, E 1672","Printer"
"Warriston, Archibald Johnston, Lord, 1611-1663.","Author"
"Henderson, Alexander, 1583?","Author"
"Scotland. Army.","Author"
"Studley, Christopher.","Author"
"Charles I, King of England, 1600-1649.","Author"
"Scotland. Convention of Estates.","Author"
"Wedderburn, Robert, ca. 1510-ca. 1557.","Author"
"Craig, John, 1512?","Author"
"Episcopal Church in Scotland.","Author"
"Spottiswood, John, 1565-1639.","Author"
"Scott, Edmund.","Author"
"Strategia e organizzazione (Firm)","Author"
"Verheiden, W.","Author"
"Boccalini, Traiano, 1556-1613.","Author"
"Baudartius, Willem, 1565-1640.","Author"
"Tourneur, Cyril, 1575?","Author"
"Scott, Thomas, preacher at the Rolls Chapel.","Author"
"Widdowes, Daniel.","Author"
"Wydowes, I.","Author"
"Scribonius, Wilhelm Adolf, fl. 1576-1583.","Author"
"Scudder, Henry, d. 1659?","Author"
"Scupoli, Lorenzo, 1530-1610.","Author"
"Gerard, John, 1564-1637.","Author"
"Sedgwick, John, 1600 or 1601-1643.","Author"
"Segar, William, Sir, d. 1633.","Author"
"Saviolo, Vincentio.","Author"
"Jones, Richard, fl. 1564-1602.","Author"
"Cotton, Robert, Sir, 1571-1631.","Author"
"Sempill, Robert, 1530?","Author"
"T. N. (Thomas Nuce), d. 1617.","Author"
"Heywood, Jasper, 1535-1598.","Author"
"Churchyard, Balthasar 1524","Stationer, Bookbinder, Bookseller"
"Serres, Jean de, 1540?","Author"
"Serres, Olivier de, 1539-1619.","Author"
"Stallenge, William 1607","Publisher, Printer"
"Geffe, Nicholas.","Author"
"Settle, Dionyse.","Author"
"Condell, Henry, d. 1627.","Author"
"Edwards, John 1624","Stationer"
"Heminge, John, ca. 1556-1630.","Author"
"Busby, John 1576","Stationer"
"Leake, William I 1584","Bookseller"
"Harrison, John 1556","Stationer"
"Harrison, John 2 1561","Bookseller"
"Sharpe, Robert, clerke.","Author"
"Sharpeigh, Robert, Sir.","Author"
"Haitley, Alexander.","Author"
"Sharpe, Roger.","Author"
"Sharpham, Edward, 1576-1608.","Author"
"Shaw, John, writer on agriculture.","Author"
"Sheafe, Thomas, ca. 1559-1639.","Author"
"Shelford, Robert, 1562 or 3-1627.","Author"
"Man, Thomas 1604","Stationer ?"
"Sherley, Anthony, Sir, 1565-1635?","Author"
"Bagfet, Joseph 1598","Bookseller, Stationer"
"Sherry, Richard, ca. 1506-ca. 1555.","Author"
"Cicero, Marcus Tullius. Pro Marcello. English.","Author"
"Shirley, Henry, d. 1627.","Author"
"Shirley, James, 1596-1666.","Author"
"Molina, Tirso de, 1571?","Author"
"Vega, Lope de, 1562-1635.","Author"
"George, Martin 1632","Stationer"
"Nye, Philip, 1596?","Author"
"Langham, Edward 1621","Stationer"
"Culverwell, Ezekiel, 1553 or 4-1631.","Author"
"Sergier, Richard jr 1637","Bookseller"
"Seaman, Lazarus, d. 1675.","Author"
"Ussher, James, 1581-1656.","Author"
"Sibthorp, Christopher, Sir, d. 1632.","Author"
"Olney, Henry 1595","Bookseller"
"Newman, Thomas, fl. 1587-1598.","Author"
"Gwinne, Matthew, 1558?","Author"
"Sanford, Hugh, d. 1607.","Author"
"Robert, Ellis 1623","Cartographer"
"Silesio, Mariano.","Author"
"Whitford, Richard, fl. 1495-1555?","Author"
"Simon, anchorite of London Wall.","Author"
"Tab, Henry 1523","Stationer, Bookseller, Printer ?"
"Richardson, Symon 1612","Stationer"
"Slatyer, William, 1587-1647.","Author"
"Smart, Peter, 1569-1652?","Author"
"Smart, Ralph.","Author"
"Smith, Henry, 1550?","Author"
"Chettle, Henry 1577","Printer, Stationer, Author (dramatic/theatrical)"
"Staresmore, Sabine.","Author"
"Perrin, John 1580","Bookseller"
"Smith, John, 1580-1631.","Author"
"Roberts, Henry ap 1616","Stationer"
"Clerke, Robert 1610","Stationer"
"Barra, John, ca. 1574-1634, engraver.","engraver"
"Symonds, William, 1556-1616?","Author"
"Abbay, Thomas.","Author"
"Smith, John, 1563-1616.","Author"
"Smith, John, minister at Reading.","Author"
"Palmer, Anthony, fl. 1632.","Author"
"Burhill, Robert, 1572-1641.","Author"
"Smith, Miles, d. 1624.","Author"
"Prior, Thomas, b. 1585 or 6.","Author"
"Roberts, Alice 1593","Printer"
"Smith, Thomas, Sir, 1558?","Author"
"Harrison, Joseph 1604","Bookseller"
"Smith, Wentworth, fl. 1601-1623.","Author"
"Smith, William, fl. 1596.","Author"
"Smyth, Thomas, servaunt to the Quenes most excellent Majestie.","Author"
"Redman, John 1508","Printer, Stationer"
"Smith, William, 1555 or 6-1615.","Author"
"Smythe, John, Sir, ca. 1534-1607.","Author"
"N. G., fl. 1592.","Author"
"Sohn, Georg, 1152?","Author"
"Solinus, C. Julius, 3rd cent.?","Author"
"Somner, William, 1598-1669.","Author"
"Thrale, Richard 1620","Stationer"
"Soranzo, Lazzaro.","Author"
"Sorocold, Thomas, 1561-1617.","Author"
"Soto, Andr√©s de, 1553?","Author"
"G. T.","Author"
"Fuchs, Gilbert, 1504-1567.","Author"
"Turberville, George, 1540?","Author"
"Walpole, Henry, 1558-1595.","Author"
"Archdeacon, Daniel.","Author"
"H. W.","Author"
"Speed, John, 1552?","Author"
"Keere, Pieter van den, ca. 1571-ca. 1624, engraver.","engraver"
"Camden, William, 1551-1623.","Author"
"Humble, George 1603","Bookseller, Print seller, Publisher (maps)"
"Schweitzer, Christoph, wood-engraver.","engraver"
"Sudbury, John 1599","Bookseller, Publisher (maps)"
"Speght, Rachel.","Author"
"Spelman, Henry, Sir, 1564?","Author"
"Stafford, Anthony.","Author"
"Saunders, Thomas 1612","Bookseller"
"Stafford, Thomas, Sir, fl. 1633.","Author"
"Stafford, William, 1554-1612.","Author"
"Stanbridge, John, 1463-1510.","Author"
"Standish, John, 1507?","Author"
"Staphylus, Fridericus.","Author"
"Harpsfield, Nicholas, 1519-1575.","Author"
"Starkey, Thomas, d. 1538.","Author"
"Stephens, John, fl. 1613-1615.","Author"
"Knight, Phillip 1607","Stationer"
"Steple, Steven.","Author"
"Colman, Nicholas 1565","Bookseller, Bookbinder"
"Newberry, Ralph 1560","Stationer"
"Stevin, Simon, 1548-1620.","Author"
"Storer, Thomas, 1571-1604.","Author"
"Badger, Robert 1641","Stationer"
"Bellamie, J 1640","Bookseller"
"Burgess, Anthony, d. 1664.","Author"
"Smith, Ralph 1639","Bookseller"
"Stoughton, John, d. 1639.","Author"
"Overton, Henry I 1629","Bookseller"
"Rothwell, John II 1631","Bookseller"
"Stoughton, John, 1593-1639.","Author"
"Stourton, Charles Stourton, Baron, d. 1557.","Author"
"Howes, Edmund, fl. 1607-1631.","Author"
"Fitzstephen, William, d. 1190?","Author"
"Strachey, William, 1572?","Author"
"Virginia.","Author"
"Strigel, Victorinus, 1524-1569.","Author"
"Struther, William, 1578-1633.","Author"
"Hopwood, John 1623","Chapman"
"Venge, Edward 1578","Bookseller, Printer"
"Stubbes, Phillip.","Author"
"Stubbes, John, 1543-1591.","Author"
"Page, William 1579","Bookseller ?"
"Stucley, Lewis, Sir, d. 1620.","Author"
"Sturm, Johannes, 1507-1589.","Author"
"Gutierrez de la Vega, Luis, b. ca. 1509.","Author"
"Lichefield, Nicholas.","Author"
"Styward, Thomas.","Author"
"Suckling, John, Sir, 1609-1642.","Author"
"Suetonius, ca. 69-ca. 122.","Author"
"S√ºleyman I, Sultan of the Turks, 1494 or 5-1566.","Author"
"Pope, William 1642","Bookseller"
"Sutcliffe, Matthew, 1550?","Author"
"Sutton, Christopher, 1565?","Author"
"Morgan, William, ca. 1545-1604.","Author"
"Parry, Richard, 1560-1623.","Author"
"Davies, John, 1567-1644.","Author"
"Short, Elizabeth 1603","Printer ?"
"Swan, John, d. 1671.","Author"
"Bure, Anders, 1571-1646.","Author"
"Hildebrandt, Andreas, d. 1637.","Author"
"L. S., Sir, fl. 1632.","Author"
"Story, John, fl. 1632.","Author"
"Sweden. ArmÈn.","Author"
"Watts, William, 1590?","Author"
"Abelin, Johann Philipp. Arma Suecica. English.","Author"
"Swetnam, Joseph, fl. 1617.","Author"
"Wishart, George, 1513?","Author"
"Schweizerischer Evangerlischer Kirchenbund.","Author"
"Bertaut, Jean, 1552-1611.","Author"
"Symson, Andrew.","Author"
"Synesius, of Cyrene, Bishop of Ptolemais.","Author"
"A. T., practitioner in physicke.","Author"
"C. T., 17th cent.","Author"
"F. T., fl. 1604-1635.","Author"
"T. T., fl. 1560.","Author"
