-6.28012;Finglas Road;place;Tragedy;allusion
-6.28012;Finglas Road;place;Author;allusion
-6.28012;Finglas Road;place;currency;allusion
-6.28012;Finglas Road;place;Greek God;allusion
-6.28012;Finglas Road;place;German;allusion
-6.28012;Finglas Road;place;person;allusion
-6.28012;Finglas Road;place;person;allusion
-6.28012;Finglas Road;place;Novel;allusion
-6.249902;6 Westland Row;place;Orientalism;allusion
-6.249902;6 Westland Row;place;Catholicism;allusion
-6.249902;6 Westland Row;place;Ceylon;allusion
-6.249902;6 Westland Row;place;Italian;allusion
-6.249902;6 Westland Row;place;French;allusion
-6.249902;6 Westland Row;place;Percy Shelley;allusion
-6.249902;6 Westland Row;place;death;allusion
-6.249902;6 Westland Row;place;Archimedes;allusion
-6.249902;6 Westland Row;place;Newton's Law;allusion
-6.249902;6 Westland Row;place;Freeman's Journal;allusion
-6.25097;49 Westland Row;place;Royal Dublin Fusiliers;allusion
-6.25097;49 Westland Row;place;Royal Dublin Fusiliers;allusion
-6.25097;49 Westland Row;place;Maud Gonne;allusion
-6.25097;49 Westland Row;place;Arthur Griffith;allusion
-6.25097;49 Westland Row;place;Edward VII;allusion
-6.25097;49 Westland Row;place;Shakespeare;allusion
-6.25082;31 Westland Row;place;Robert M. Adams;allusion
-6.25082;31 Westland Row;place;proverb;allusion
-6.25082;31 Westland Row;place;Thomas Moore;allusion
-6.25082;31 Westland Row;place;fortune telling;allusion
-6.25082;31 Westland Row;place;Mozart;allusion
-6.25082;31 Westland Row;place;Catholicism;allusion
-6.24995;Pearse Street;place;Edward VII;allusion
-6.24995;Pearse Street;place;John Augustin Daly;allusion
-6.24995;Pearse Street;place;Millicent Palmer;allusion
-6.24995;Pearse Street;place;Shakespeare;allusion
-6.24995;Pearse Street;place;Kate Bateman;allusion
-6.24995;Pearse Street;place;Adelaide Ristori;allusion
-6.24995;Pearse Street;place;Salomon Hermann Mosenhal;allusion
-6.24995;Pearse Street;place;Leah the Forsaken;allusion
-6.25791;153 Pearse Street;place;Christianity;allusion
