                            street	locRef	6	Jackson street
2155
                            Archer avenue	address	4	2155 Archer
                            avenue
2155
                            Archer avenue	address	4	on Randolph near Dearborn street
2155
                            Archer avenue	address	4	20th Clark street
2155
                            Archer avenue	address	4	199 and 201 Fifth avenue
Cottage Grove avenue	locRef	6	Eighteenth street
Cottage Grove avenue	locRef	6	the three
                            points where State and Nineteenth streets intersect
Cottage Grove avenue	locRef	6	Newport
Cottage Grove avenue	locRef	6	State
                            street
Cottage Grove avenue	locRef	6	Lake street
Cottage Grove avenue	locRef	6	Jackson street
Lake street	locRef	6	Eighteenth street
Lake street	locRef	6	the three
                            points where State and Nineteenth streets intersect
Lake street	locRef	6	Newport
Lake street	locRef	6	State
                            street
Lake street	locRef	6	Cottage Grove avenue
Lake street	locRef	6	Jackson street
on Randolph near Dearborn street	address	4	2155 Archer
                            avenue
on Randolph near Dearborn street	address	4	2155
                            Archer avenue
on Randolph near Dearborn street	address	4	20th Clark street
on Randolph near Dearborn street	address	4	199 and 201 Fifth avenue
20th Clark street	address	4	2155 Archer
                            avenue
20th Clark street	address	4	2155
                            Archer avenue
20th Clark street	address	4	on Randolph near Dearborn street
20th Clark street	address	4	199 and 201 Fifth avenue
199 and 201 Fifth avenue	address	4	2155 Archer
                            avenue
199 and 201 Fifth avenue	address	4	2155
                            Archer avenue
199 and 201 Fifth avenue	address	4	on Randolph near Dearborn street
199 and 201 Fifth avenue	address	4	20th Clark street
Jackson street	locRef	6	Eighteenth street
Jackson street	locRef	6	the three
                            points where State and Nineteenth streets intersect
Jackson street	locRef	6	Newport
Jackson street	locRef	6	State
                            street
Jackson street	locRef	6	Cottage Grove avenue
Jackson street	locRef	6	Lake street
Little Hell	locRef	2	26 Eugenie street
Little Hell	locRef	2	Larrabee street
Elm and Wesson streets	address	8	Hobbie and Chatham streets
Elm and Wesson streets	address	8	113 Chicago avenue
Elm and Wesson streets	address	8	Cleveland avenue
Elm and Wesson streets	address	8	No. 314
Elm and Wesson streets	address	8	335 Cleveland avenue
Elm and Wesson streets	address	8	323 Cleaveland avenue
Elm and Wesson streets	address	8	138 Mohawk street
Elm and Wesson streets	address	8	Sedgwick street near Superior
Hobbie and Chatham streets	address	8	Elm and Wesson streets
Hobbie and Chatham streets	address	8	113 Chicago avenue
Hobbie and Chatham streets	address	8	Cleveland avenue
Hobbie and Chatham streets	address	8	No. 314
Hobbie and Chatham streets	address	8	335 Cleveland avenue
Hobbie and Chatham streets	address	8	323 Cleaveland avenue
Hobbie and Chatham streets	address	8	138 Mohawk street
Hobbie and Chatham streets	address	8	Sedgwick street near Superior
113 Chicago avenue	address	8	Elm and Wesson streets
113 Chicago avenue	address	8	Hobbie and Chatham streets
113 Chicago avenue	address	8	Cleveland avenue
113 Chicago avenue	address	8	No. 314
113 Chicago avenue	address	8	335 Cleveland avenue
113 Chicago avenue	address	8	323 Cleaveland avenue
113 Chicago avenue	address	8	138 Mohawk street
113 Chicago avenue	address	8	Sedgwick street near Superior
Cleveland avenue	address	8	Elm and Wesson streets
Cleveland avenue	address	8	Hobbie and Chatham streets
Cleveland avenue	address	8	113 Chicago avenue
Cleveland avenue	address	8	No. 314
Cleveland avenue	address	8	335 Cleveland avenue
Cleveland avenue	address	8	323 Cleaveland avenue
Cleveland avenue	address	8	138 Mohawk street
Cleveland avenue	address	8	Sedgwick street near Superior
No. 314	address	8	Elm and Wesson streets
No. 314	address	8	Hobbie and Chatham streets
No. 314	address	8	113 Chicago avenue
No. 314	address	8	Cleveland avenue
No. 314	address	8	335 Cleveland avenue
No. 314	address	8	323 Cleaveland avenue
No. 314	address	8	138 Mohawk street
No. 314	address	8	Sedgwick street near Superior
335 Cleveland avenue	address	8	Elm and Wesson streets
335 Cleveland avenue	address	8	Hobbie and Chatham streets
335 Cleveland avenue	address	8	113 Chicago avenue
335 Cleveland avenue	address	8	Cleveland avenue
335 Cleveland avenue	address	8	No. 314
335 Cleveland avenue	address	8	323 Cleaveland avenue
335 Cleveland avenue	address	8	138 Mohawk street
335 Cleveland avenue	address	8	Sedgwick street near Superior
323 Cleaveland avenue	address	8	Elm and Wesson streets
323 Cleaveland avenue	address	8	Hobbie and Chatham streets
323 Cleaveland avenue	address	8	113 Chicago avenue
323 Cleaveland avenue	address	8	Cleveland avenue
323 Cleaveland avenue	address	8	No. 314
323 Cleaveland avenue	address	8	335 Cleveland avenue
323 Cleaveland avenue	address	8	138 Mohawk street
323 Cleaveland avenue	address	8	Sedgwick street near Superior
138 Mohawk street	address	8	Elm and Wesson streets
138 Mohawk street	address	8	Hobbie and Chatham streets
138 Mohawk street	address	8	113 Chicago avenue
138 Mohawk street	address	8	Cleveland avenue
138 Mohawk street	address	8	No. 314
138 Mohawk street	address	8	335 Cleveland avenue
138 Mohawk street	address	8	323 Cleaveland avenue
138 Mohawk street	address	8	Sedgwick street near Superior
26 Eugenie street	locRef	3	Little Hell
26 Eugenie street	locRef	3	Larrabee street
Larrabee street	locRef	3	Little Hell
Larrabee street	locRef	3	26 Eugenie street
Sedgwick street near Superior	address	8	Elm and Wesson streets
Sedgwick street near Superior	address	8	Hobbie and Chatham streets
Sedgwick street near Superior	address	8	113 Chicago avenue
Sedgwick street near Superior	address	8	Cleveland avenue
Sedgwick street near Superior	address	8	No. 314
Sedgwick street near Superior	address	8	335 Cleveland avenue
Sedgwick street near Superior	address	8	323 Cleaveland avenue
Sedgwick street near Superior	address	8	138 Mohawk street
South Park	locRef	7	Fifteenth and Robey streets
South Park	locRef	7	Englewood
South Park	locRef	7	Bleeker street
South Park	locRef	7	Lincoln park
South Park	locRef	7	Thirteenth street
South Park	locRef	7	Dearborn avenue
Fifteenth and Robey streets	locRef	7	South Park
Fifteenth and Robey streets	locRef	7	Englewood
Fifteenth and Robey streets	locRef	7	Bleeker street
Fifteenth and Robey streets	locRef	7	Lincoln park
Fifteenth and Robey streets	locRef	7	Thirteenth street
Fifteenth and Robey streets	locRef	7	Dearborn avenue
Englewood	locRef	6	South Park
Englewood	locRef	6	Fifteenth and Robey streets
Englewood	locRef	6	Bleeker street
Englewood	locRef	6	Lincoln park
Englewood	locRef	6	Thirteenth street
Englewood	locRef	6	Dearborn avenue
Bleeker street	locRef	7	South Park
Bleeker street	locRef	7	Fifteenth and Robey streets
Bleeker street	locRef	7	Englewood
Bleeker street	locRef	7	Lincoln park
Bleeker street	locRef	7	Thirteenth street
Bleeker street	locRef	7	Dearborn avenue
Lincoln park	locRef	7	South Park
Lincoln park	locRef	7	Fifteenth and Robey streets
Lincoln park	locRef	7	Englewood
Lincoln park	locRef	7	Bleeker street
Lincoln park	locRef	7	Thirteenth street
Lincoln park	locRef	7	Dearborn avenue
Thirteenth street	locRef	7	South Park
Thirteenth street	locRef	7	Fifteenth and Robey streets
Thirteenth street	locRef	7	Englewood
Thirteenth street	locRef	7	Bleeker street
Thirteenth street	locRef	7	Lincoln park
Thirteenth street	locRef	7	Dearborn avenue
Dearborn avenue	locRef	7	South Park
Dearborn avenue	locRef	7	Fifteenth and Robey streets
Dearborn avenue	locRef	7	Englewood
Dearborn avenue	locRef	7	Bleeker street
Dearborn avenue	locRef	7	Lincoln park
Dearborn avenue	locRef	7	Thirteenth street
London	something_else	0	other
Jesuit college	locRef	14	Halsted street
Jesuit college	locRef	14	Wicker park
Jesuit college	locRef	14	Sedgwick street
Jesuit college	locRef	14	Carpenter
Jesuit college	locRef	14	South side
Jesuit college	locRef	14	Archer avenue
Jesuit college	locRef	14	Nineteenth
Jesuit college	locRef	14	Twentieth
Jesuit college	locRef	14	Butterfield
Jesuit college	locRef	14	Clark
Jesuit college	locRef	14	John's place
Jesuit college	locRef	14	Liberty court
Jesuit college	locRef	14	Canalport avenue
Jesuit college	locRef	14	State street
230 West Twelfth street	address	7	147 Twelfth street
230 West Twelfth street	address	7	441 Taylor street
230 West Twelfth street	address	7	81 West Jackson street
230 West Twelfth street	address	7	80 Jackson street
230 West Twelfth street	address	7	1187 Milwaukee avenue
230 West Twelfth street	address	7	318 George street
230 West Twelfth street	address	7	Illinois street
147 Twelfth street	address	7	230 West Twelfth street
147 Twelfth street	address	7	441 Taylor street
147 Twelfth street	address	7	81 West Jackson street
147 Twelfth street	address	7	80 Jackson street
147 Twelfth street	address	7	1187 Milwaukee avenue
147 Twelfth street	address	7	318 George street
147 Twelfth street	address	7	Illinois street
441 Taylor street	address	7	230 West Twelfth street
441 Taylor street	address	7	147 Twelfth street
441 Taylor street	address	7	81 West Jackson street
441 Taylor street	address	7	80 Jackson street
441 Taylor street	address	7	1187 Milwaukee avenue
441 Taylor street	address	7	318 George street
441 Taylor street	address	7	Illinois street
81 West Jackson street	address	7	230 West Twelfth street
81 West Jackson street	address	7	147 Twelfth street
81 West Jackson street	address	7	441 Taylor street
81 West Jackson street	address	7	80 Jackson street
81 West Jackson street	address	7	1187 Milwaukee avenue
