Toxic Rat	spray_paint	London	UK	2011	5
Javelin Thrower	spray_paint	London	UK	2012	2
London Calling	spray_paint	London	UK	2012	2
Slave Labour	spray_paint	London	UK	2012	2
Fridge Kite	spray_paint	New Orleans	USA	2012	2
Copyright 	canvas	London	UK	2012	2
Winnie the Pooh Bear Trap	spray_paint	Bristol	UK	2012	2
Hammer Boy	spray_paint	New York	USA	2013	4
Ghetto for Life	spray_paint	New York	USA	2013	4
Graffiti Is A Crime	spray_paint	New York	USA	2013	4
Fake Plato Qoute	spray_paint	Brooklyn	USA	2013	4
Bronx Zoo	spray_paint	New York	USA	2013	4
Better Out Than In	installation	New York	USA	2013	4
Waiting in Vain	spray_paint	Brooklyn	USA	2013	4
Mobile Phone Lovers	spray_paint	Bristol	UK	2014	2
Love is the Answer	spray_paint	Brooklyn	USA	2014	2
Drunk Angel	spray_paint	London	UK	2014	2
One Original Thought	spray_paint	New York	USA	2014	2
Crying Woman	spray_paint	Gaza	PS	2015	4
Gaza Kitty	spray_paint	Gaza	PS	2015	4
The Son Of A Migrant From Syria	spray_paint	Calais	FR	2015	4
Watchtower Swing	spray_paint	Gaza	PS	2015	4
Burning Tyre	spray_paint	Bristol	UK	2016	1
Rat Couple	spray_paint	Paris	FR	2018	6
Seal Mural	spray_paint	New York	USA	2018	6
Season's Greetings	spray_paint	Wales	UK	2018	6
Go Flock Yourself	spray_paint	Paris	FR	2018	6
Draw The Raised Bridge	spray_paint	Hull	UK	2018	6
Chisel the Flag	spray_paint	Dover	UK	2018	6
Box Cutter Rat	spray_paint	Paris	FR	2018	6
Blinded Napoleon	spray_paint	Paris	FR	2018	6
